IND,Plot,Wet Weight,LA,Dry Mass,Height,DBH
ALNINC_SH_1_1,1,0.7244,,0.24129,105.3,
ALNINC_SH_1_2,1,0.862,,0.29039,,
BETALL_WM_8_1,1,0.379,,0.09522,136.6,
BETALL_WM_8_2,1,0.46626,,0.11946,,
BETPOP_WM_7_1,1,0.27157,,0.07347,197.2,
BETPOP_WM_7_2,1,0.33934,,0.09729,,
BETPAP_GR_5_1,1,0.553,,0.1653,67.8,
BETPAP_GR_5_2,1,0.5259,,0.16246,,
ALNINC_WM_2A_1,1,0.609,,0.18411,123.8,
ALNINC_WM_2A_2,1,0.8669,,0.26217,,
ALNINC_GR_11_1,1,0.623,,0.18901,173,
ALNINC_GR_11_2,1,0.817,,0.26006,,
BETPAP_SH_1A_1,1,0.72823,,0.17187,158,
BETPAP_SH_1A_2,1,0.903,,0.22415,,
BETPOP_HF_3_1,1,0.23797,,0.07626,248.2,1.4
BETPOP_HF_3_2,1,0.31442,,0.10392,,
ALNINC_WM_5_1,1,0.558,,0.17797,161.7,
ALNINC_WM_5_2,1,0.579,,0.18917,,
ALNINC_WM_1_1,1,0.7054,,0.21475,92.4,
ALNINC_WM_1_2,1,0.833,,0.21009,,
ALNINC_HF_2_1,1,0.495,,0.15278,94.1,
ALNINC_HF_2_2,1,0.605,,0.24706,,
ALNINC_HF_1_1,1,0.6694,,0.21939,184.3,
ALNINC_HF_1_2,1,0.691,,0.17649,,
BETALL_GR_12_1,1,0.6936,,0.19861,138.8,
BETALL_GR_12_2,1,0.974,,0.27408,,
ALNINC_WM_2B_1,1,0.522,,0.16892,179.6,
ALNINC_WM_2B_2,1,0.774,,0.25575,,
BETPOP_GR_5_1,1,0.4267,,0.12425,148.6,
BETPOP_GR_5_2,1,0.495,,0.13735,,
BETPAP_SH_1B_1,1,0.802,,0.20055,155.8,
BETPAP_SH_1B_2,1,1.383,,0.36787,,
BETALL_GR_13_1,1,0.505,,0.15117,137.4,
BETALL_GR_13_2,1,0.6113,,0.19487,,
ALNINC_WM_5B_1,2,0.581,,0.19314,192.2,1
ALNINC_WM_5B_2,2,0.648,,0.21287,,
AMECAN_GR_10_1,2,0.14118,,0.04651,105.6,
AMECAN_GR_10_2,2,0.29243,,0.09614,,
BETPOP_HF_1_1,2,0.29934,,0.08579,196.4,
BETPOP_HF_1_2,2,0.33485,,0.09708,,
BETPAP_GR_5B_1,2,0.1764,,0.04988,32.3,
BETPAP_GR_5B_2,2,0.343,,0.10205,,
ACEPEN_WM_5_1,2,0.765,,0.21105,114,
ACEPEN_WM_5_2,2,0.884,,0.24275,,
ALNINC_HF_9_1,2,0.569,,0.16993,248.2,1.7
ALNINC_HF_9_2,2,0.719,,0.22594,,
BETPOP_WM_7_1,2,0.378,,0.09918,210.4,
BETPOP_WM_7_2,2,0.42394,,0.11793,,
BETPOP_HF_5_1,2,0.27008,,0.07736,57.4,
BETPOP_HF_5_2,2,0.29983,,0.08617,,
BETPAP_HF_16_1,2,1.51,,0.38027,199.2,1
BETPAP_HF_16_2,2,1.96,,0.50056,,
ALNINC_WM_5A_1,2,0.496,,0.16078,220.8,1.1
ALNINC_WM_5A_2,2,0.538,,0.15691,,
BETALL_GR_13_1,2,0.446,,0.11326,125.9,
BETALL_GR_13_2,2,0.74093,,0.19403,,
BETPAP_GR_5A_1,2,0.31221,,0.08392,92,
BETPAP_GR_5A_2,2,0.5765,,0.16682,,
ALNINC_SH_5_1,2,0.5486,,0.16425,129.4,
ALNINC_SH_5_2,2,0.6657,,0.19253,,
ALNINC_SH_4_1,2,0.659,,0.21472,262.6,2.3
ALNINC_SH_4_1,2,0.767,,0.22559,,
BETALL_SH_4_1,3,0.544,,0.142338,141.6,
BETALL_SH_4_2,3,0.605,,0.15511,,
ALNINC_GR_11B_1,3,0.58,,0.16598,159.4,
ALNINC_GR_11B_2,3,0.6038,,0.17818,,
BETPOP_GR_5B_1,3,0.4317,,0.12995,146.2,
BETPOP_GR_5B_2,3,0.4357,,0.12299,,
ALNINC_GR_1_1,3,0.70094,,0.20029,155.4,
ALNINC_GR_1_2,3,0.746,,0.20497,,
ALNINC_GR_8_1,3,0.824,48.15,0.26221,191.2,1.1
ALNINC_GR_8_2,3,1.0084,,0.33265,,
BETPOP_HF_1_1,3,0.2701,,0.07787,111.6,
BETPOP_HF_1_2,3,0.28236,,0.08473,,
BETPOP_WM_7_1,3,0.43636,,0.13012,216.6,1.6
BETPOP_WM_7_2,3,0.4295,,0.12167,,
AMECAN_GR_10B_1,3,0.1599,,0.05396,110.6,
AMECAN_GR_10B_2,3,0.16647,,0.06005,,
ALNINC_GR_11A_1,3,0.6714,,0.20284,95.8,
ALNINC_GR_11A_2,3,0.801,,0.23113,,
AMECAN_GR_10A_1,3,0.17811,,0.06475,90.4,
AMECAN_GR_10A_2,3,0.21096,,0.07919,,
BETPAP_HF_16_1,3,0.688,,0.16836,89.8,
BETPAP_HF_16_2,3,0.7998,,0.18905,,
BETALL_GR_9_1,3,0.39,,0.10752,144,
BETALL_GR_9_2,3,0.48044,,0.13123,,
BETPOP_GR_5A_1,3,0.3815,,0.12165,128.6,
BETPOP_GR_5A_2,3,0.43759,,0.12797,,
BETALL_GR_12_1,3,0.3617,,0.10749,101.9,
BETALL_GR_12_2,3,0.39191,,0.11749,,
BETPAP_GR_8_1,3,0.21813,,0.07035,55.8,
BETPAP_GR_8_2,3,0.27305,,0.08869,,
BETALL_GR_1_1,3,0.396,,0.11303,151.8,
BETALL_GR_1_2,3,0.5562,,0.16241,,
ALNINC_SH_5_1,3,0.4063,,0.13143,152.4,
ALNINC_SH_5_2,3,0.45184,,0.15172,,
VIBCAS_SH_5_1,4,0.49186,,0.14452,96.8,
VIBCAS_SH_5_2,4,0.9289,,0.26003,,
VIBCAS_GR_10_1,4,0.37664,,0.095,67.4,
VIBCAS_GR_10_2,4,0.7121,,0.20246,,
SPIALB_SH_9B_1,4,0.0544,,0.01805,86.4,
SPIALB_SH_9B_2,4,0.07661,,0.02067,,
AROMEL_WM_5_1,4,0.10368,,0.03608,30.6,
AROMEL_WM_5_2,4,0.15344,,0.05111,,
SPITOM_WM_5E_1,4,0.03536,,0.0115,46.8,
SPITOM_WM_5E_2,4,0.04288,,0.01354,,
